Time Slot,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
8:00-9:00,All Vacant,All Vacant,All Vacant,"401, 402, 403, 404, 501, 504","401, 402, 404, 501, 504","401, 402, 403, 404, 501, 503, 504"
9:00-10:00,"401, 403, 404, 501, 503","401, 402, 403, 404, 501, 503, 504","401, 402, 404, 501, 503, 504","401, 403, 501, 503, 504","401, 403, 404, 501, 504","401, 402, 403, 404, 501, 503, 504"
10:00-11:00,"401, 403, 404, 501, 503, 504","401, 402, 403, 501, 503","401, 403, 404, 501, 503, 504","401, 403, 404, 501, 503, 504","401, 402, 403, 404, 501, 503","401, 402, 403, 404, 501, 503, 504"
11:00-12:00,"401, 403, 404, 501, 503","401, 402, 403, 501, 503","401, 403, 404, 501, 503","401, 403, 404, 501, 504","401, 402, 403, 404, 501, 503","401, 402, 403, 404, 501, 503, 504"
12:00-1:00,"401, 402, 403, 404, 501, 503, 504",All Vacant (Break),"401, 402, 404, 501, 503, 504","401, 402, 404, 501, 504",All Vacant (Break),"401, 402, 403, 404, 501, 503, 504"
1:00-2:00,"401, 402, 403, 404, 501, 503","401, 402, 403, 404, 501, 503","401, 402, 403, 404, 501, 503","401, 402, 404, 501, 504","402, 404, 501, 504","401, 402, 403, 404, 501, 503, 504"
2:00-3:00,"401, 402, 404, 501, 504","401, 402, 403, 404, 501, 503","401, 402, 403, 404, 501, 503, 504","401, 402, 404, 501, 504","401, 402, 403, 404, 501, 503, 504","401, 402, 403, 404, 501, 503, 504"
3:00-4:00,"401, 402, 403, 404, 501, 503, 504","401, 402, 403, 404, 501, 503","401, 402, 403, 404, 501, 503, 504","401, 402, 403, 404, 501, 503, 504","401, 402, 403, 404, 501, 503, 504","401, 402, 403, 404, 501, 503, 504"
4:00-5:00,"401, 402, 404, 501, 504","401, 402, 403, 404, 501, 504","401, 402, 403, 404, 501, 503, 504","401, 402, 403, 404, 501, 504","401, 402, 404, 501, 504","401, 402, 403, 404, 501, 503, 504"
5:00-6:00,"401, 402, 403, 404, 501, 504","401, 402, 403, 404, 501, 504","401, 402, 403, 404, 501, 503, 504","401, 402, 403, 404, 501, 504","401, 402, 404, 501, 504","401, 402, 403, 404, 501, 503, 504"